,Book-Title,avg-rating,Book-Author,Publisher,Year-Of-Publication,Image-URL-L
88,The Red Tent (Bestselling Backlist),4.334716459197787,Anita Diamant,Picador USA,1998,http://images.amazon.com/images/P/0312195516.01.LZZZZZZZ.jpg
89,The Hitchhiker's Guide to the Galaxy,4.3283582089552235,Douglas Adams,Pocket,1982,http://images.amazon.com/images/P/0671461494.01.LZZZZZZZ.jpg
98,Nickel and Dimed: On (Not) Getting By in America,4.28955223880597,Barbara Ehrenreich,Owl Books,2002,http://images.amazon.com/images/P/0805063897.01.LZZZZZZZ.jpg
100,Into the Wild,4.273809523809524,Jon Krakauer,Anchor,1997,http://images.amazon.com/images/P/0385486804.01.LZZZZZZZ.jpg
103,Fahrenheit 451,4.264058679706602,Ray Bradbury,Distribooks Inc,1994,http://images.amazon.com/images/P/3257208626.01.LZZZZZZZ.jpg
116,Girl with a Pearl Earring,4.218631178707224,Tracy Chevalier,Plume Books,2001,http://images.amazon.com/images/P/0452282152.01.LZZZZZZZ.jpg
117,Outlander,4.173144876325089,DIANA GABALDON,Dell,1996,http://images.amazon.com/images/P/0440222915.01.LZZZZZZZ.jpg
123,Where the Heart Is (Oprah's Book Club (Paperback)),4.105982905982906,Billie Letts,Warner Books,1998,http://images.amazon.com/images/P/0446672211.01.LZZZZZZZ.jpg
124,Seabiscuit: An American Legend,4.098181818181819,LAURA HILLENBRAND,Ballantine Books,2002,http://images.amazon.com/images/P/0449005615.01.LZZZZZZZ.jpg
126,Life of Pi,4.088855421686747,Yann Martel,Harcourt,2002,http://images.amazon.com/images/P/0151008116.01.LZZZZZZZ.jpg
130,The Bean Trees,4.087403598971722,Barbara Kingsolver,Perennial,1989,http://images.amazon.com/images/P/0060915544.01.LZZZZZZZ.jpg
133,"A Child Called \It\"": One Child's Courage to Survive""",4.086792452830188,Dave Pelzer,Health Communications,1995,http://images.amazon.com/images/P/1558743669.01.LZZZZZZZ.jpg
135,ANGELA'S ASHES,4.075268817204301,Frank McCourt,Scribner,1996,http://images.amazon.com/images/P/0684874350.01.LZZZZZZZ.jpg
137,Good in Bed,4.055102040816327,Jennifer Weiner,Washington Square Press,2002,http://images.amazon.com/images/P/0743418174.01.LZZZZZZZ.jpg
139,Fast Food Nation: The Dark Side of the All-American Meal,4.037383177570093,Eric Schlosser,Perennial,2002,http://images.amazon.com/images/P/0060938455.01.LZZZZZZZ.jpg
140,American Gods,4.006622516556291,Neil Gaiman,HarperTorch,2002,http://images.amazon.com/images/P/0380789035.01.LZZZZZZZ.jpg
141,Skipping Christmas,4.0062111801242235,JOHN GRISHAM,Doubleday,2001,http://images.amazon.com/images/P/0385505833.01.LZZZZZZZ.jpg
147,Left Behind: A Novel of the Earth's Last Days (Left Behind No. 1),4.00314465408805,Tim Lahaye,Tyndale House Publishers,1996,http://images.amazon.com/images/P/0842329129.01.LZZZZZZZ.jpg
149,"The Golden Compass (His Dark Materials, Book 1)",4.0,PHILIP PULLMAN,Knopf Books for Young Readers,2002,http://images.amazon.com/images/P/037582345X.01.LZZZZZZZ.jpg
157,The Color Purple,3.964968152866242,Alice Walker,Pocket Books,1985,http://images.amazon.com/images/P/0671617028.01.LZZZZZZZ.jpg
163,Silence of the Lambs,3.9609375,Thomas Harris,St. Martin's Press,1991,http://images.amazon.com/images/P/0312924585.01.LZZZZZZZ.jpg
166,About a Boy,3.900763358778626,Nick Hornby,Riverhead Books,1999,http://images.amazon.com/images/P/1573227331.01.LZZZZZZZ.jpg
173,Seven Up (A Stephanie Plum Novel),3.8884892086330933,Janet Evanovich,St. Martin's Press,2001,http://images.amazon.com/images/P/0312265840.01.LZZZZZZZ.jpg
175,The Alchemist: A Fable About Following Your Dream,3.8759398496240602,Paulo Coelho,HarperSanFrancisco,1993,http://images.amazon.com/images/P/0062502174.01.LZZZZZZZ.jpg
177,Hard Eight : A Stephanie Plum Novel (A Stephanie Plum Novel),3.825278810408922,Janet Evanovich,St. Martin's Paperbacks,2003,http://images.amazon.com/images/P/0312983867.01.LZZZZZZZ.jpg
182,Suzanne's Diary for Nicholas,3.8205689277899344,James Patterson,"Little, Brown",2001,http://images.amazon.com/images/P/0316969443.01.LZZZZZZZ.jpg
186,Lord of the Flies,3.8185328185328187,William Gerald Golding,Perigee Trade,1959,http://images.amazon.com/images/P/0399501487.01.LZZZZZZZ.jpg
192,A Prayer for Owen Meany,3.7966101694915255,John Irving,Ballantine Books,1990,http://images.amazon.com/images/P/0345361792.01.LZZZZZZZ.jpg
194,"The Vampire Lestat (Vampire Chronicles, Book II)",3.777408637873754,ANNE RICE,Ballantine Books,1986,http://images.amazon.com/images/P/0345313860.01.LZZZZZZZ.jpg
195,White Oleander : A Novel (Oprah's Book Club),3.7724719101123596,Janet Fitch,Back Bay Books,2000,http://images.amazon.com/images/P/0316284955.01.LZZZZZZZ.jpg
196,Wicked: The Life and Times of the Wicked Witch of the West,3.766871165644172,Gregory Maguire,Regan Books,1996,http://images.amazon.com/images/P/0060987103.01.LZZZZZZZ.jpg
197,Me Talk Pretty One Day,3.7527352297593,David Sedaris,Back Bay Books,2001,http://images.amazon.com/images/P/0316776963.01.LZZZZZZZ.jpg
201,Timeline,3.75,MICHAEL CRICHTON,Ballantine Books,2000,http://images.amazon.com/images/P/0345417623.01.LZZZZZZZ.jpg
208,Misery,3.718213058419244,Stephen King,New Amer Library,1988,http://images.amazon.com/images/P/0451153553.01.LZZZZZZZ.jpg
216,Angels &amp; Demons,3.708955223880597,Dan Brown,Pocket Star,2001,http://images.amazon.com/images/P/0671027360.01.LZZZZZZZ.jpg
221,Bel Canto: A Novel,3.702857142857143,Ann Patchett,Perennial,2002,http://images.amazon.com/images/P/0060934417.01.LZZZZZZZ.jpg
222,Watership Down,3.698717948717949,Richard George Adams,Harpercollins,1975,http://images.amazon.com/images/P/038039586X.01.LZZZZZZZ.jpg
226,The Green Mile,3.6818181818181817,Stephen King,Pocket,1999,http://images.amazon.com/images/P/0671032658.01.LZZZZZZZ.jpg
229,Balzac and the Little Chinese Seamstress : A Novel,3.676056338028169,DAI SIJIE,Anchor,2002,http://images.amazon.com/images/P/0385722206.01.LZZZZZZZ.jpg
231,One for the Money (Stephanie Plum Novels (Paperback)),3.656357388316151,Janet Evanovich,HarperTorch,1995,http://images.amazon.com/images/P/0061009059.01.LZZZZZZZ.jpg
232,Confessions of a Shopaholic (Summer Display Opportunity),3.6342857142857143,SOPHIE KINSELLA,Delta,2001,http://images.amazon.com/images/P/0385335482.01.LZZZZZZZ.jpg
233,Empire Falls,3.6301020408163267,Richard Russo,Vintage Books USA,2002,http://images.amazon.com/images/P/0375726403.01.LZZZZZZZ.jpg
236,Lucky : A Memoir,3.6212624584717608,Alice Sebold,Back Bay Books,2002,http://images.amazon.com/images/P/0316096199.01.LZZZZZZZ.jpg
237,The Poisonwood Bible: A Novel,3.6093117408906883,Barbara Kingsolver,Perennial,1999,http://images.amazon.com/images/P/0060930535.01.LZZZZZZZ.jpg
238,Red Dragon,3.6069651741293534,Thomas Harris,Dell Publishing Company,2000,http://images.amazon.com/images/P/0440206154.01.LZZZZZZZ.jpg
246,The Pilot's Wife : A Novel,3.5933098591549295,Anita Shreve,Back Bay Books,1999,http://images.amazon.com/images/P/0316601950.01.LZZZZZZZ.jpg
247,Insomnia,3.576923076923077,Stephen King,Viking Books,1994,http://images.amazon.com/images/P/0670855030.01.LZZZZZZZ.jpg
252,Digital Fortress : A Thriller,3.57679180887372,Dan Brown,St. Martin's Press,2003,http://images.amazon.com/images/P/0312995423.01.LZZZZZZZ.jpg
255,1st to Die: A Novel,3.5756385068762278,James Patterson,Warner Vision,2002,http://images.amazon.com/images/P/0446610038.01.LZZZZZZZ.jpg
257,She's Come Undone (Oprah's Book Club),3.5705128205128207,Wally Lamb,Pocket,1998,http://images.amazon.com/images/P/0671021001.01.LZZZZZZZ.jpg
258,The Notebook,3.56,Nicholas Sparks,Warner Books,1998,http://images.amazon.com/images/P/0446605239.01.LZZZZZZZ.jpg
263,Interview with the Vampire,3.5511811023622046,Anne Rice,Ballantine Books,1993,http://images.amazon.com/images/P/0345337662.01.LZZZZZZZ.jpg
265,The Nanny Diaries: A Novel,3.5301932367149758,Emma McLaughlin,St. Martin's Press,2002,http://images.amazon.com/images/P/0312278586.01.LZZZZZZZ.jpg
267,Bridget Jones's Diary,3.5276073619631902,Helen Fielding,Picador (UK),1997,http://images.amazon.com/images/P/0330332775.01.LZZZZZZZ.jpg
273,White Oleander : A Novel,3.5064599483204133,Janet Fitch,"Little, Brown",2001,http://images.amazon.com/images/P/0316182540.01.LZZZZZZZ.jpg
276,The Poisonwood Bible,3.50187265917603,Barbara Kingsolver,HarperCollins,1999,http://images.amazon.com/images/P/0060175400.01.LZZZZZZZ.jpg
279,She's Come Undone (Oprah's Book Club (Paperback)),3.495515695067265,Wally Lamb,Washington Square Press,1996,http://images.amazon.com/images/P/0671003755.01.LZZZZZZZ.jpg
280,Two for the Dough,3.4644194756554305,Janet Evanovich,Pocket,1996,http://images.amazon.com/images/P/0671001795.01.LZZZZZZZ.jpg
281,Divine Secrets of the Ya-Ya Sisterhood: A Novel,3.437837837837838,Rebecca Wells,Perennial,1997,http://images.amazon.com/images/P/0060928336.01.LZZZZZZZ.jpg
284,Fried Green Tomatoes at the Whistle Stop Cafe,3.4345047923322682,Fannie Flagg,McGraw-Hill,1989,http://images.amazon.com/images/P/0070212570.01.LZZZZZZZ.jpg
288,The Summons,3.43206106870229,John Grisham,Dell Publishing Company,2002,http://images.amazon.com/images/P/0440241073.01.LZZZZZZZ.jpg
292,The Divine Secrets of the Ya-Ya Sisterhood: A Novel,3.4308510638297873,Rebecca Wells,HarperTorch,2002,http://images.amazon.com/images/P/0060502258.01.LZZZZZZZ.jpg
293,Jurassic Park,3.42827868852459,Michael Crichton,Ballantine Books,1999,http://images.amazon.com/images/P/0345370775.01.LZZZZZZZ.jpg
300,A Heartbreaking Work of Staggering Genius,3.423841059602649,Dave Eggers,Vintage Books USA,2001,http://images.amazon.com/images/P/0375725784.01.LZZZZZZZ.jpg
301,"Girl, Interrupted",3.4198473282442747,SUSANNA KAYSEN,Vintage,1994,http://images.amazon.com/images/P/0679746048.01.LZZZZZZZ.jpg
304,The No. 1 Ladies' Detective Agency (Today Show Book Club #8),3.417633410672854,Alexander McCall Smith,Anchor,2003,http://images.amazon.com/images/P/1400034779.01.LZZZZZZZ.jpg
305,Chocolat,3.4127906976744184,Joanne Harris,Black Swan,2000,http://images.amazon.com/images/P/0552998486.01.LZZZZZZZ.jpg
311,A Walk to Remember,3.3994708994708995,Nicholas Sparks,Warner Books,2000,http://images.amazon.com/images/P/0446608955.01.LZZZZZZZ.jpg
315,The Handmaid's Tale,3.3987138263665595,Margaret Atwood,Fawcett Books,1989,http://images.amazon.com/images/P/0449212602.01.LZZZZZZZ.jpg
319,The Bonesetter's Daughter,3.390625,Amy Tan,Putnam Publishing Group,2001,http://images.amazon.com/images/P/0399146431.01.LZZZZZZZ.jpg
324,One Door Away from Heaven,3.389261744966443,Dean R. Koontz,Bantam Books,2002,http://images.amazon.com/images/P/0553582755.01.LZZZZZZZ.jpg
326,Fall On Your Knees (Oprah #45),3.387323943661972,Ann-Marie MacDonald,Touchstone,2002,http://images.amazon.com/images/P/0743237188.01.LZZZZZZZ.jpg
327,A Bend in the Road,3.3641618497109826,Nicholas Sparks,Warner Books,2001,http://images.amazon.com/images/P/0446527785.01.LZZZZZZZ.jpg
333,Summer Sisters,3.3612565445026177,Judy Blume,Delacorte Press,1998,http://images.amazon.com/images/P/0385324057.01.LZZZZZZZ.jpg
337,Cold Mountain : A Novel,3.35048231511254,CHARLES FRAZIER,Vintage,1998,http://images.amazon.com/images/P/0375700757.01.LZZZZZZZ.jpg
338,The Beach House,3.3471264367816094,James Patterson,Warner Books,2003,http://images.amazon.com/images/P/0446612545.01.LZZZZZZZ.jpg
344,The Hours: A Novel,3.3469387755102042,Michael Cunningham,Picador,2002,http://images.amazon.com/images/P/0312305060.01.LZZZZZZZ.jpg
345,Icy Sparks,3.3462783171521036,Gwyn Hyman Rubio,Penguin Books,2001,http://images.amazon.com/images/P/0142000205.01.LZZZZZZZ.jpg
347,Angela's Ashes (MMP) : A Memoir,3.3374233128834354,Frank McCourt,Scribner,1999,http://images.amazon.com/images/P/0684872153.01.LZZZZZZZ.jpg
348,How to Be Good,3.3059210526315788,Nick Hornby,Riverhead Books,2002,http://images.amazon.com/images/P/1573229326.01.LZZZZZZZ.jpg
351,Into Thin Air : A Personal Account of the Mt. Everest Disaster,3.303763440860215,JON KRAKAUER,Anchor,1999,http://images.amazon.com/images/P/0385494785.01.LZZZZZZZ.jpg
353,The Partner,3.290794979079498,John Grisham,Doubleday Books,1997,http://images.amazon.com/images/P/0385472951.01.LZZZZZZZ.jpg
357,The God of Small Things,3.28719723183391,Arundhati Roy,Perennial,1998,http://images.amazon.com/images/P/0060977493.01.LZZZZZZZ.jpg
359,The Witching Hour (Lives of the Mayfair Witches),3.281021897810219,ANNE RICE,Ballantine Books,1993,http://images.amazon.com/images/P/0345384466.01.LZZZZZZZ.jpg
361,Dance upon the Air (Three Sisters Island Trilogy),3.2713178294573644,Nora Roberts,Jove Books,2003,http://images.amazon.com/images/P/0515131229.01.LZZZZZZZ.jpg
362,2nd Chance,3.269662921348315,James Patterson,"Little, Brown",2002,http://images.amazon.com/images/P/0316693200.01.LZZZZZZZ.jpg
366,Little Altars Everywhere: A Novel,3.2557603686635943,Rebecca Wells,Perennial,1996,http://images.amazon.com/images/P/0060976845.01.LZZZZZZZ.jpg
367,SHIPPING NEWS,3.2539267015706805,Annie Proulx,Scribner,1994,http://images.amazon.com/images/P/0671510053.01.LZZZZZZZ.jpg
370,Snow Falling on Cedars,3.2522658610271904,David Guterson,Harcourt,1994,http://images.amazon.com/images/P/0151001006.01.LZZZZZZZ.jpg
377,The Rescue,3.2435064935064934,Nicholas Sparks,Warner Books,2001,http://images.amazon.com/images/P/0446610399.01.LZZZZZZZ.jpg
382,A Painted House,3.231503579952267,John Grisham,Dell Publishing Company,2001,http://images.amazon.com/images/P/044023722X.01.LZZZZZZZ.jpg
387,Unnatural Exposure,3.2209302325581395,Cornwell Patricia,Little Brown Company,0,http://images.amazon.com/images/P/0316639842.01.LZZZZZZZ.jpg
393,Dreamcatcher,3.212058212058212,Stephen King,Scribner,2001,http://images.amazon.com/images/P/0743211383.01.LZZZZZZZ.jpg
405,Dolores Claiborne,3.1854545454545455,Stephen King,Signet Book,2004,http://images.amazon.com/images/P/0451177096.01.LZZZZZZZ.jpg
415,Point of Origin,3.1805054151624548,Patricia Daniels Cornwell,Berkley Publishing Group,1999,http://images.amazon.com/images/P/0425169863.01.LZZZZZZZ.jpg
417,The Testament,3.179902755267423,John Grisham,Dell,1999,http://images.amazon.com/images/P/0440234743.01.LZZZZZZZ.jpg
424,I Know This Much Is True,3.1739130434782608,Wally Lamb,Regan Books,1999,http://images.amazon.com/images/P/0060987561.01.LZZZZZZZ.jpg
428,Midnight in the Garden of Good and Evil: A Savannah Story,3.147169811320755,John Berendt,Random House,1994,http://images.amazon.com/images/P/0679429220.01.LZZZZZZZ.jpg
430,The Girls' Guide to Hunting and Fishing,3.1396160558464223,Melissa Bank,Penguin Books,2000,http://images.amazon.com/images/P/0140293248.01.LZZZZZZZ.jpg
434,Cradle and All,3.1358490566037736,James Patterson,Little Brown and Company,2000,http://images.amazon.com/images/P/0316690619.01.LZZZZZZZ.jpg
442,A Time to Kill,3.122040072859745,JOHN GRISHAM,Dell,1992,http://images.amazon.com/images/P/0440211727.01.LZZZZZZZ.jpg
449,The Last Time They Met : A Novel,3.121794871794872,Anita Shreve,Back Bay Books,2002,http://images.amazon.com/images/P/0316781266.01.LZZZZZZZ.jpg
451,Along Came a Spider (Alex Cross Novels),3.1217105263157894,James Patterson,Warner Books,1993,http://images.amazon.com/images/P/0446364193.01.LZZZZZZZ.jpg
454,Midwives: A Novel,3.113157894736842,Chris Bohjalian,Vintage,1998,http://images.amazon.com/images/P/0375706771.01.LZZZZZZZ.jpg
455,The Bridges of Madison County,3.0880361173814896,Robert James Waller,Warner Books,1992,http://images.amazon.com/images/P/044651652X.01.LZZZZZZZ.jpg
460,The Client,3.0848861283643894,John Grisham,Doubleday Books,1993,http://images.amazon.com/images/P/038542471X.01.LZZZZZZZ.jpg
464,The Firm,3.0808435852372584,John Grisham,Doubleday Books,1991,http://images.amazon.com/images/P/0385416342.01.LZZZZZZZ.jpg
471,The Smoke Jumper,3.0572519083969465,Nicholas Evans,Delacorte Press,2001,http://images.amazon.com/images/P/0385334036.01.LZZZZZZZ.jpg
474,The Joy Luck Club,3.0558558558558557,Amy Tan,Prentice Hall (K-12),1994,http://images.amazon.com/images/P/0804106304.01.LZZZZZZZ.jpg
477,Full House (Janet Evanovich's Full Series),3.0428015564202333,Janet Evanovich,St. Martin's Paperbacks,2002,http://images.amazon.com/images/P/0312983271.01.LZZZZZZZ.jpg
478,Pop Goes the Weasel,3.04029304029304,James Patterson,Replica Books,1999,http://images.amazon.com/images/P/0316693286.01.LZZZZZZZ.jpg
482,The King of Torts,3.039301310043668,John Grisham,Doubleday Books,2003,http://images.amazon.com/images/P/0385508042.01.LZZZZZZZ.jpg
486,Tara Road,3.036184210526316,Maeve Binchy,Dell Publishing Company,2000,http://images.amazon.com/images/P/0440235596.01.LZZZZZZZ.jpg
493,House of Sand and Fog,3.0306122448979593,Andre Dubus III,Vintage Books,2000,http://images.amazon.com/images/P/0375727345.01.LZZZZZZZ.jpg
495,The Chamber,3.0157170923379173,John Grisham,Doubleday Books,1994,http://images.amazon.com/images/P/0385424728.01.LZZZZZZZ.jpg
500,The Reader,3.0128755364806867,Bernhard Schlink,Random House,1997,http://images.amazon.com/images/P/0679442790.01.LZZZZZZZ.jpg
505,The Blind Assassin,3.007843137254902,Margaret Atwood,Nan A. Talese,2000,http://images.amazon.com/images/P/0385475721.01.LZZZZZZZ.jpg
508,STONES FROM THE RIVER,3.0027472527472527,Ursula Hegi,Simon &amp; Schuster,1997,http://images.amazon.com/images/P/0684844729.01.LZZZZZZZ.jpg
512,The Kitchen God's Wife,2.9967845659163985,Amy Tan,Putnam Pub Group,1991,http://images.amazon.com/images/P/0399135782.01.LZZZZZZZ.jpg
517,"\O\"" Is for Outlaw""",2.9888475836431225,SUE GRAFTON,Ballantine Books,2001,http://images.amazon.com/images/P/0449003787.01.LZZZZZZZ.jpg
519,The Hot Zone,2.973076923076923,Richard Preston,Anchor,1995,http://images.amazon.com/images/P/0385479565.01.LZZZZZZZ.jpg
523,The Cider House Rules,2.969465648854962,John Irving,Bantam Books,1986,http://images.amazon.com/images/P/0553258001.01.LZZZZZZZ.jpg
531,The Alienist,2.9657142857142857,Caleb Carr,Bantam Books,1995,http://images.amazon.com/images/P/0553572997.01.LZZZZZZZ.jpg
533,Violets Are Blue,2.955145118733509,James Patterson,Warner Vision,2002,http://images.amazon.com/images/P/0446611212.01.LZZZZZZZ.jpg
537,Deception Point,2.931297709923664,Dan Brown,Pocket,2002,http://images.amazon.com/images/P/0671027387.01.LZZZZZZZ.jpg
540,The Rainmaker,2.9221556886227544,JOHN GRISHAM,Dell,1996,http://images.amazon.com/images/P/044022165X.01.LZZZZZZZ.jpg
547,Mystic River,2.911602209944751,Dennis Lehane,HarperTorch,2002,http://images.amazon.com/images/P/0380731851.01.LZZZZZZZ.jpg
554,Airframe,2.9006024096385543,Michael Crichton,Ballantine Books,1997,http://images.amazon.com/images/P/0345402871.01.LZZZZZZZ.jpg
559,The Runaway Jury,2.8807692307692307,JOHN GRISHAM,Dell,1997,http://images.amazon.com/images/P/0440221471.01.LZZZZZZZ.jpg
565,All I Really Need to Know,2.87984496124031,ROBERT FULGHUM,Ivy Books,1989,http://images.amazon.com/images/P/080410526X.01.LZZZZZZZ.jpg
567,The Last Precinct,2.8753709198813056,Patricia Cornwell,Berkley Publishing Group,2001,http://images.amazon.com/images/P/0425180638.01.LZZZZZZZ.jpg
571,We Were the Mulvaneys,2.8684210526315788,Joyce Carol Oates,Plume,1996,http://images.amazon.com/images/P/0452282829.01.LZZZZZZZ.jpg
572,The Lost World,2.85546875,Michael Crichton,Ballantine Books,1996,http://images.amazon.com/images/P/034540288X.01.LZZZZZZZ.jpg
579,The Street Lawyer,2.851376146788991,JOHN GRISHAM,Dell,1999,http://images.amazon.com/images/P/0440225701.01.LZZZZZZZ.jpg
584,The Brethren,2.8507194244604315,JOHN GRISHAM,Doubleday,2000,http://images.amazon.com/images/P/0385497466.01.LZZZZZZZ.jpg
589,The Hundred Secret Senses,2.830357142857143,Amy Tan,Putnam Pub Group,1995,http://images.amazon.com/images/P/0399141146.01.LZZZZZZZ.jpg
596,Kiss the Girls,2.828125,James Patterson,Warner Books,1995,http://images.amazon.com/images/P/0446601241.01.LZZZZZZZ.jpg
600,Black and Blue,2.79467680608365,ANNA QUINDLEN,Dell,1999,http://images.amazon.com/images/P/0440226104.01.LZZZZZZZ.jpg
601,A Widow for One Year,2.7838827838827838,JOHN IRVING,Ballantine Books,1999,http://images.amazon.com/images/P/0345424719.01.LZZZZZZZ.jpg
605,Black Notice,2.783333333333333,Patricia Daniels Cornwell,Putnam Pub Group,1999,http://images.amazon.com/images/P/0399145087.01.LZZZZZZZ.jpg
611,Message in a Bottle,2.778225806451613,Nicholas Sparks,Warner Books,1998,http://images.amazon.com/images/P/0446523569.01.LZZZZZZZ.jpg
616,Flesh and Blood,2.7755905511811023,Jonathan Kellerman,Random House,2001,http://images.amazon.com/images/P/0679459626.01.LZZZZZZZ.jpg
626,Hannibal,2.7606837606837606,Thomas Harris,Dell Publishing Company,2000,http://images.amazon.com/images/P/0440224675.01.LZZZZZZZ.jpg
638,Sphere,2.7433155080213902,MICHAEL CRICHTON,Ballantine Books,1988,http://images.amazon.com/images/P/0345353145.01.LZZZZZZZ.jpg
644,A Is for Alibi (Kinsey Millhone Mysteries (Paperback)),2.7333333333333334,SUE GRAFTON,Bantam,1987,http://images.amazon.com/images/P/0553279912.01.LZZZZZZZ.jpg
645,When the Wind Blows,2.7222222222222223,James Patterson,Replica Books,1998,http://images.amazon.com/images/P/0316693324.01.LZZZZZZZ.jpg
656,The Queen of the Damned (Vampire Chronicles (Paperback)),2.708029197080292,Anne Rice,Ballantine Books,1993,http://images.amazon.com/images/P/0345351525.01.LZZZZZZZ.jpg
658,The Horse Whisperer,2.6863905325443787,Nicholas Evans,Dell,1996,http://images.amazon.com/images/P/0440222656.01.LZZZZZZZ.jpg
662,Back Roads,2.681159420289855,Tawni O'Dell,Signet Book,2001,http://images.amazon.com/images/P/0451202341.01.LZZZZZZZ.jpg
668,The Book of Ruth (Oprah's Book Club (Paperback)),2.6677115987460813,Jane Hamilton,Anchor,1990,http://images.amazon.com/images/P/0385265700.01.LZZZZZZZ.jpg
669,Scarlet Feather,2.6328125,Maeve Binchy,Dutton Books,2001,http://images.amazon.com/images/P/0525945938.01.LZZZZZZZ.jpg
674,Lightning,2.627737226277372,Dean R. Koontz,Berkley Publishing Group,1996,http://images.amazon.com/images/P/0425115801.01.LZZZZZZZ.jpg
681,Cause of Death,2.6202090592334493,Patricia Daniels Cornwell,Berkley Publishing Group,1997,http://images.amazon.com/images/P/0425158616.01.LZZZZZZZ.jpg
689,The Pelican Brief,2.6110154905335627,John Grisham,Dell,1993,http://images.amazon.com/images/P/0440214041.01.LZZZZZZZ.jpg
692,While I Was Gone,2.5800464037122968,Sue Miller,Ballantine Books,1999,http://images.amazon.com/images/P/0345443284.01.LZZZZZZZ.jpg
696,The Perfect Storm : A True Story of Men Against the Sea,2.5396039603960396,Sebastian Junger,Perennial,1999,http://images.amazon.com/images/P/0060977477.01.LZZZZZZZ.jpg
699,A Map of the World,2.492354740061162,Jane Hamilton,Doubleday Books,1999,http://images.amazon.com/images/P/0385500769.01.LZZZZZZZ.jpg
702,Rising Sun,2.4424460431654675,MICHAEL CRICHTON,Ballantine Books,1992,http://images.amazon.com/images/P/0345380371.01.LZZZZZZZ.jpg
705,Congo,2.431438127090301,Michael Crichton,Ballantine Books,1995,http://images.amazon.com/images/P/0345378490.01.LZZZZZZZ.jpg
709,The Prince of Tides,2.3539518900343643,Pat Conroy,Bantam Books,1987,http://images.amazon.com/images/P/0553268880.01.LZZZZZZZ.jpg
